"section_number","section_title","core_files","expected_files","section_type","section_dependencies","ground_truth","template_instructions","transformed_output","reasoning"
"6.5","Adverse Events","Synopsis","","","","This section should contain the following information verbatim. 

Â´Adverse Event Definition
An AE is any untoward medical occurrence in a subject administered a pharmaceutical product, regardless of whether the event is considered treatment related. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease concurrent with the use of the study drug, whether or not related to the study. This includes any newly occurring event, or a pre-existing condition judged by the Investigator to have increased in severity or frequency since the administration of study drug. Any medical condition that is present at the time that the participant is screened will be considered as baseline and not reported as an AE; however, if the trial participantâ€™s condition worsens at any time during the trial, it will be recorded as an AE.

Severity Assessment of Adverse Events
The severity of AEs will be graded using the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) V5.0. For AEs not included in the CTCAE V5.0 grading system, the following guidelines will be used to describe severity:
Mild â€“ Events require minimal or no treatment and do not interfere with the subjectâ€™s daily activities.
Moderate â€“ Events result in a low level of inconvenience or concern with the therapeutic measures. Moderate events may cause some interference with functioning.
Severe â€“ Events interrupt a subjectâ€™s usual daily activity and may require systemic drug therapy or other treatment. Severe events are usually potentially life-threatening or incapacitating. Of note, the term â€œsevereâ€ does not necessarily equate to â€œseriousâ€.

Relationship of Adverse Events to Study Treatment
All AEs must have their relationship to study intervention assessed by the clinician who examines and evaluates the subject based on temporal relationship and his/her clinical judgment. The degree of certainty about causality will be graded using the categories below. In a clinical trial, the study product must always be suspect.
Related â€“ The AE is known to occur with the study intervention, there is a reasonable possibility that the study intervention caused the AE, or there is a temporal relationship between the study intervention and event. Reasonable possibility means that there is evidence to suggest a causal relationship between the study intervention and the AE.
Not Related â€“ There is not a reasonable possibility that the administration of the study intervention caused the event, there is no temporal relationship between the study intervention and event onset, or an alternate etiology has been established.

Outcome of Adverse Events
The investigator will assess the outcome of all unsolicited AEs (including SAEs) recorded during the study as: 
Recovered/resolved. 

Recovering/resolving. 

Not recovered/not resolved. 

Recovered with sequelae/resolved with sequelae. 

Fatal. 

Expectedness of Adverse Events
The Investigator will be responsible for determining whether an AE is expected or unexpected. An AE will be considered unexpected if the nature, severity, or frequency of the event is not consistent with the risk information previously described for the study intervention.Â´","","",""
"6.5.1","Time Period And Frequency For Collecting Adverse Event Information","Synopsis","","","3.1","Example text provided as a guide, customize as needed:
[The occurrence of an AE or SAE may come to the attention of study personnel during study visits and interviews of a study subject presenting for medical care, or upon review by a study monitor.
All AEs including local and systemic reactions not meeting the criteria for SAEs will be captured on the appropriate CRF. Information to be collected includes event description, time of onset, clinicianâ€™s assessment of severity, relationship to study product (assessed only by those with the training and authority to make a diagnosis), and time of resolution/stabilization of the event. All AEs occurring while on study must be documented appropriately regardless of relationship. All AEs will be followed to adequate resolution.
Any medical condition that is present at the time that the subject is screened will be considered as baseline and not reported as an AE. However, if the study subjectâ€™s condition worsens at any time during the study, it will be recorded as an AE.
Changes in the severity of an AE will be documented to allow an assessment of the duration of the event at each level of severity to be performed. AEs characterized as intermittent require documentation of onset and duration of each episode. 
<Insert role or name> will record all reportable events with start dates occurring any time after informed consent is obtained until <insert length of AE recording after last visit> (for non-serious AEs) or <insert length of SAE recording after last visit> (for SAEs) after the last day of study participation. At each study visit, the Investigator will inquire about the occurrence of AE/SAEs since the last visit. Events will be followed for outcome information until resolution or stabilization.]
The minimum content of this section are the start and end dates or visits in which a collection of AEs and SAEs will be conducted. Take into consideration the following as examples of describing the information on the timeframes to collect AEs and SAEs: ""solicited AEs to be collected from dosing to 7 days after dosing"", ""unsolicited AEs to be collected from dosing to 30 days after dosing"" or ""SAEs to be collected from screening until end of the study"".
This section SHOULD not contain information about the most commonly reported AEs by previous studies for the same intervention.","","",""
"6.5.2","Method of Detecting Adverse Events and Serious Adverse Events","Synopsis","","","3.1, 4.1, 4.2","Insert the following text, customize as needed:
""Care will be taken not to introduce bias when detecting AEs and/or SAEs. Open-ended and non-leading verbal questioning of the subject is the preferred method to inquire about AE occurrences.""
Modify example text using the following information: Any methods used to determine that an AE has occurred in a participant should be included here, including non-leading questions (unsolicited AEs), specifically solicited reactions where the clinical staff specifically asks the participant if they have had for example fever, headache, abdominal pain (solicited AEs), participant diaries. If the synopsis does not mention solicited AEs, do not mention solicited AEs. If the synopsis does not mention participant diaries, do not mention participant diaries. If the synopsis does not specify the method for AE collection, the method to detect AEs will be non-leading questions. 
In studies with participants under the age of 18 years, note that for pediatric participants, the clinical staff may ask the participant and/or their parent/guardian/legally authorized representative for any new health information since the participant's last visit. In studies with only participants over 18 years of age, do not mention pediatric participants. Do not describe the schedule of assessments. Do not describe the duration of AE follow-up. Do not list laboratory parameters. Do not describe quality of life measurements. Do not describe SAE reporting. Do not describe immune monitoring. DO not describe DSMB activities. Do not describe randomization. Do not describe stratification.
","","",""
"6.5.3","Follow-up Of Adverse Events And Serious Adverse Events","Synopsis","","","3.1","Insert the following text, customize as needed:
""After the initial AE/SAE report, the Investigator is required to proactively follow each subject at subsequent visits/contacts. All SAEs (and adverse events of special interest [AESIs]) will be followed until resolution, stabilization, the event is otherwise explained, or the subject is lost to follow-up.""
You SHOULD only describe AE and SAE follow-up requirements and no AE and SAE reporting requirements. 
If information is available, describe the regulations applicable for the follow-up requirements.
The length of follow-up should be a defined time period (for example, 30 days after the end of the study) or an event (for example, the resolution of an AE).
Do not describe statistical analyses. Do not describe interim analyses. Do not describe sample collection and assessment. Do not describe endpoint definitions. Do not describe visit windows. Do not describe disease follow-up. Do not describe DSMB or other committee activities. Do not describe adverse event severity grading. Do not mention the timing or procedures for SAE reporting. Do not describe the follow-up visits. Do not describe safety assessments other than adverse events.","","",""
"6.5.4","Reporting Serious Adverse Events","Synopsis","","","","The instructions in this section should be in line with local reporting regulations to IRB/IEC and regulatory authorities - different countries may allow a different amount of time before mandatory reporting of certain SAEs. 
Insert the following text:
""The study clinician will immediately report to the Sponsor any SAE, whether or not considered study intervention related, including those listed in the protocol or Investigator brochure and must include an assessment of whether there is a reasonable possibility that the study intervention caused the event. Study endpoints that are SAEs (eg, all-cause mortality) must be reported in accordance with the protocol unless there is evidence suggesting a causal relationship between the study intervention and the event (eg, death from anaphylaxis). In that case, the Investigator must immediately report the event to the Sponsor.
All SAEs will be followed until satisfactory resolution or until the site Investigator deems the event to be chronic or the subject is stable. Other supporting documentation of the event may be requested by the Data Coordinating Center (DCC)/study Sponsor and should be provided as soon as possible.
The study Sponsor will be responsible for notifying the Food and Drug Administration (FDA) of any unexpected fatal or life-threatening suspected adverse reaction as soon as possible, but in no case later than 7 calendar days after the Sponsor's initial receipt of the information. In addition, the Sponsor must notify FDA and all participating Investigators in an Investigational New Drug (IND) safety report of potential serious risks, from clinical trials or any other source, as soon as possible, but in no case later than 15 calendar days after the Sponsor determines that the information qualifies for reporting.""
","","",""
"6.5.5","Institutional Review Board And Independent Ethics Committee Notification","Synopsis","","","","Insert the following text, customize as needed.
[The Investigator must report all SAEs (including follow-up information) to the IRB/IEC in accordance with IRB/IEC requirements. Copies of each report and documentation of IRB/IEC notification and receipt will be kept in the siteâ€™s Regulatory Binder.]
Do not describe DSMB or other committee activities. Do not add any other text.","","",""
"6.5.6","Clinical Significance","Synopsis","","","","Example text provided as a guide, customize as needed.
[The Investigator and/or qualified designee are responsible for monitoring AEs/SAEs and determining clinical significance using Common Terminology Criteria for Adverse Events (CTCAE) grading. Each AE/SAE will be evaluated as described in Section 6.5.]","","",""
"6.5.7","Clinical Laboratory Adverse Events","Synopsis","","","","Specify whether abnormal laboratory test results will be considered to be AEs, and if so, define the cut-off values or other conditions under which they will be considered AEs, eg, they are associated with clinical signs and symptoms, they require treatment or diagnostic procedures, they result in discontinuation from the study, or they are associated with death or an SAE. Do not describe DSMB or other committee activities. Do not describe SAE reporting. Do not list the laboratory parameters. Do not describe where the laboratory evaluations will be performed.","","",""
"6.5.8","Serious Adverse Events","Synopsis","","","","Insert the following text:
""An SAE is any unfavorable medical occurrence reported at any dose if it:
-Results in death.
-Is life-threatening. The term â€œlife-threateningâ€ in the definition of â€œseriousâ€ refers to an event in which the participant was at risk of death at the time of the event. It does not refer to an event that hypothetically might have caused death if it were more severe.
-Requires inpatient hospitalization or prolongation of existing hospitalization. Planned hospitalization for a pre-existing condition, or a procedure required by the protocol, without serious deterioration in health, is not considered an SAE.
-Results in persistent or significant disability/incapacity. The term disability means a substantial disruption of a personâ€™s ability to conduct normal life functions. This definition is not intended to include experiences of relatively minor medical significance such as uncomplicated headache, nausea, vomiting, diarrhea, influenza-like illness, and accidental trauma (e.g., sprained ankle) that may interfere or prevent everyday life functions but that do not constitute a substantial disruption.
-Is a congenital anomaly/birth defect.
Important medical events that may not result in death, be life-threatening, or require hospitalization may be considered an SAE when, based upon appropriate medical judgment, they may jeopardize the participant and may require medical or surgical intervention to prevent one of the outcomes listed in this definition. Examples of such medical events include allergic bronchospasm requiring intensive treatment in an emergency department or at home, blood dyscrasias or convulsions that do not result in inpatient hospitalization, or the development of substance dependency or substance abuse.""","","",""
"6.5.9","Treatment Emergent Adverse Events","Synopsis","","","","Insert the following text:
""TEAEs are defined as an event that emerges during treatment, having been absent pretreatment, or worsens relative to the pretreatment state.""
","","",""
"6.5.10","Adverse Events Of Special Interest","Synopsis","","","","Include content in this section if applicable, otherwise note as not applicable.
AEs considered of special interest in the study should be defined/listed here. If there are no AESIs defined for the study, this section can be marked not applicable - the Sponsor should provide the information as to whether there are any AESIs and what they are. 
Do not describe the safety monitoring framework. Do not describe collection of TEAEs. Do not describe any safety monitoring other than the safety monitoring planned for AESIs.","","",""
"6.5.11","Suspected Unexpected Serious Adverse Reactions","Synopsis","","","","Insert the following text without any changes or additional text:
""The study Sponsor is required to inform FDA of any of any suspected unexpected serious adverse reaction (SUSAR). Unexpected AEs are those that are not identified in nature, severity, or frequency in the current Investigatorâ€™s Brochure, protocol, or informed consent form. All SUSARs will be the subject of expedited reporting. The reporting timeline for a SUSAR that has occurred inside or outside the US is as follows:
-When it is neither fatal nor life-threatening, within 15 days after becoming aware of the information.
-When it is fatal or life-threatening, immediately if possible and, in any event, within 7 days after becoming aware of the information.
Further, within 8 days of having informed FDA of a fatal or life-threatening SAE, the Sponsor must submit as complete a report as possible, to include an assessment of the importance and implication(s) of any findings. Follow-up reports of fatal or life-threatening reactions must include an assessment of the importance and implication of the findings, including relevant previous experience with the same or similar drugs.
Any relevant follow-up information is communicated within an additional 15 calendar days after becoming aware of the information.""

Do not repeat the reporting requirements for a SUSAR. Do not describe DSMB or other committee activities.","","",""
"6.6","Pregnancy Reporting","Synopsis","","","4.1, 4.2, 6.4.5","Include content in this section if applicable (see Sections 4.1 and 4.2 for inclusion/exclusion criteria: this section will be applicable if: women of childbearing potential are included in the study; the study has contraception requirements for female and/or male subjects; and/or pregnancy is exclusionary) , otherwise note as not applicable.  Insert the following text and modify as needed for the study:
""Should a female subject or female partner of a male subject become pregnant at any time during the study, the Investigator must notify the Sponsor within 24 hours after learning about the pregnancy. The Sponsor will request follow-up information regarding the course of the pregnancy and its outcome. Voluntary consent must be obtained from a female subject or female partner of a male subject (and/or legally authorized representative if the subject is mentally incompetent or physically incapacitated) before any pregnancy-related follow-up is obtained.
Pregnancy, in and of itself, is not considered an AE, unless there is suspicion that the study product may have interfered with the effectiveness of a contraceptive medication or method. However, any pregnancy complication or elective termination of a pregnancy for medical reasons will be recorded as an AE or SAE and will be followed accordingly. A spontaneous abortion is an SAE.""
This section should state whether or not pregnancy is considered an AE or SAE, and whether pregnancy complications/termination are considered AEs/SAEs - this information should come from the Sponsor. If additional consent is required from the female partner of a male participant to follow her pregnancy, this should be stated. This section should also contain pregnancy reporting requirements, which should be in line with local regulations. Do not describe pregnancy testing or monitoring. Do not discuss inclusion or exclusion criteria. Do not discuss contraception requirements.","","",""
"6.7","Definition of Overdose and Reporting of Overdose","Synopsis","Investigators Brochure","","3.1, 5.2","Insert the following text:
""For the purposes of this study, an overdose of <insert study drug name> will be defined as any dose of more than <insert the maximum dose administered in the protocol>. No specific information is available on the treatment of overdose of <insert study drug name>/ OR <describe treatment for overdose if known>. In the event of an overdose, the subject should be observed closely for signs of toxicity. Appropriate supportive treatment should be provided if clinically indicated.
All reports of overdose with and without an AE must be reported within 24 hours to the Sponsor.""
You SHOULD state the definition of an overdose for this clinical trial describing also how to treat an overdose and the overdose reporting requirements.
You SHOULD NOT describe any information about general study safety follow-up or dose modifications. Describe overdosage for all study drug(s). Do not describe study drug administration. Describe only the maximum protocol-allowed dose of each study drug. Do not describe DSMB or other committee activities. Do not describe the minimum allowed dose of study drug(s). Do not describe how study drug(s) are supplied.","","",""
"6.8","Concomitant Medication Assessments","Synopsis","","","5.7","This section should only contain the timing and method for recording concomitant medications. The person responsible for recording the concomitant medications is qualified clinical site staff. Measures to be taken in case a participant takes a prohibited medication should be stated here. Do not list prohibited concomitant medications. Do not describe visit windows. Do not discuss SAE reporting. Do not repeat the visit schedule.
","","",""
"6.9","Removal Of Subjects From The Trial Or Study Drug","Synopsis","","","","Example text provided as a guide, customize as needed:
[A subject may choose to discontinue study treatment and/or withdraw from the study at any time. Withdrawal of consent will not affect the subjectâ€™s future care by the Investigator or study site. In the absence of a medical contraindication, every effort should be made by the Investigator to encourage subjects who prematurely discontinue treatment to remain in the study as appropriate and, at a minimum, follow the subject for safety data collection.]","","",""
"6.9.1","Discontinuation of Study Drug","Synopsis","","","4.1","Insert the following text (note: remove ""Positive pregnancy test"" if women of childbearing potential are not included in the study according to the inclusion criteria):
""Discontinuation from study intervention does not mean discontinuation from the study, and remaining study procedures should be completed as indicated by the study protocol. If a clinically significant finding is identified after enrollment (including, but not limited to changes from baseline), the Investigator or qualified designee will determine if any change in subject management is needed. Any new clinically relevant finding will be reported as an AE.
The data to be collected at the time of study intervention discontinuation will include the results of the assessments planned for the final study visit.

An Investigator may discontinue or withdraw a subject from the study for the following reasons:
-Completion of study intervention.
-Disease progression which requires discontinuation of the study intervention.
-If any clinical AE, laboratory abnormality, or other medical condition or situation occurs such that continued participation in the study would not be in the best interest of the subject.
-Investigator discretion.
-Positive pregnancy test.
-Subject unable to receive <insert study intervention> for [x] days/weeks.""
This section should indicate that discontinuing the study intervention does not mean discontinuing the study and participants can still continue to be followed up if they stop taking the study intervention. It should indicate what data should be collected at the time of discontinuation, and the possible reasons for the investigator to discontinue a participant's treatment on-study.
For Early Termination: Should be a specific visit. Only applicable when a participant discontinues study participation (not just study drug discontinuation) early. If there is specific data to be collected due to discontinuation of study drug, this must be discussed.","","",""
"6.9.2","Withdrawal From The Study","Synopsis","","","","Insert the following text:
""The Investigator may withdraw a subject from the study for any of the following reasons:
-A protocol violation occurs.
-A serious or intolerable AE occurs.
-A clinically significant change in a laboratory parameter occurs.
-The Sponsor or Investigator terminates the study.
-The subject requests to be discontinued from the study.
Subjects who withdraw or are withdrawn from the study prematurely should be contacted at the earliest opportunity to: 1) complete an early termination evaluation (review of AEs, concomitant therapies, etc.) and 2) undergo lab testing for safety monitoring purposes (as outlined in the other study visits).
The reason for subject discontinuation or withdrawal from the study will be recorded on the eCRF. Subjects who sign the informed consent form and are randomized but who do not receive the study intervention may be replaced. Subjects who sign the informed consent form, and who are randomized and receive the study intervention, and who subsequently withdraw, or are withdrawn or discontinued from the study, <may or will not> be replaced.""
","","",""
"6.9.3","Lost To Follow-up","Synopsis","","","","Example text provided as a guide, customize as needed:
[A subject will be considered lost to follow-up if he or she fails to return for <specify number of visits> scheduled visits and is unable to be contacted by the site staff.
The following actions must be taken if a subject fails to return to the clinic for a required study visit:
-The site will attempt to contact the subject and reschedule the missed visit <specify time frame> and counsel the subject on the importance of maintaining the assigned visit schedule and ascertain if the subject wishes to and/or should continue in the study.
-Before a subject is deemed lost to follow-up, the Investigator or designee will make every effort to regain contact with the subject (where possible, 3 telephone calls and, if necessary, a certified letter to the subjectâ€™s last known mailing address or local equivalent methods). These contact attempts should be documented in the subjectâ€™s medical record or study file.
-Should the subject continue to be unreachable, he or she will be considered to have withdrawn from the study with a primary reason of lost to follow-up.]
This section should NOT contian any information about historical rates of loss to follow-up, study duration, impact on study continuation, or follow-up procedures (once lost to follow-up, the participant is discontinued from the study for good and will not receive any follow-up). ","","",""
"6.1","Study Stopping Rules","Synopsis","","","","Example text provided as a guide, customize as needed:
[This study may be temporarily suspended or prematurely terminated if there is sufficient reasonable cause. Written notification, documenting the reason for study suspension or termination, will be provided by the suspending or terminating party to <study subjects, Investigator, funding agency, the IND or Investigational Device Exemption (IDE) Sponsor and regulatory authorities>. If the study is prematurely terminated or suspended, the Principal Investigator (PI) will promptly inform study subjects, the IRB, and Sponsor and will provide the reason(s) for the termination or suspension. Study subjects will be contacted, as applicable, and be informed of changes to the study visit schedule.
Circumstances that may warrant termination or suspension include, but are not limited to:
-Determination of unexpected, significant, or unacceptable risk to subjects.
-Demonstration of efficacy that would warrant stopping.
-Insufficient compliance to protocol requirements.
-Data that are not sufficiently complete and/or evaluable.
-Determination that the primary endpoint has been met.
-Determination of futility.
The study may resume once concerns about safety, protocol compliance, and data quality are addressed, and satisfy the Sponsor, IRB and/or FDA/other Health Authority.]

Do not describe efficacy/futility stopping rules in this section. Only describe stopping rules associated with data and safety signals.","","",""
"6.11","Other Study Procedures","Synopsis","","","3.1, 6.3, 6.4, 6.2","In a Phase 2/3 study, this section may contain pharmacokinetics, pharmacodynamics, biomarkers, or quality of life (QoL) questionnaires, etc.
This section is study-specific. It should only contain assessments that are not directly related to screening and baseline assessments, safety, or efficacy (e.g., pharmacogenetics/genomics, various patient-reported questionnaires). Do not describe assessments related to screening/baseline assessments, safety, and efficacy in this section. 
Describe assessments that are mentioned in the synopsis but are not previously described in Section 6.2, Section 6.3. or Section 6.4. Do not describe any of the screening or baseline assessments described in Section 6.2, including pharmacogenetic/genomic testing/typing or sequencing. Do not describe any of the medical history or immunological parameters described in Section 6.2. Do not describe any of the efficacy assessments and any of the immunogenicity, immune monitoring, immune profiling, immunes responses, or other immune biomarker assessments described in Section 6.3. Do not describe any of the safety assessments described in Section 6.4. Do not describe any assessments that are not defined in the synopsis. If healthcare utilization is not mentioned in the synopsis, do not describe healthcare utilization. Do not describe the assessment schedule. Do not describe visit windows. Do not describe the visit schedule. Do not describe the length of participant follow-up. Do not describe laboratory methods. Do not describe any of the assessments performed at screening for eligibility assessment. Do not describe stratification. Do not describe DSMB or other committee activities. Do not describe the visit schedule. Do not describe the length of participant follow-up. Do not describe the long-term follow-up visit schedule. ","","",""
"6.12","Appropriateness of Measurements","Synopsis","Industry Literature","","3.1","Explain the appropriateness of measures to be used. If any of the safety assessments are not standard, ie, widely used and generally recognized as reliable, accurate, and relevant (able to discriminate between effective and ineffective agents), describe the measurementâ€™s reliability, accuracy, and relevance. It may be helpful to describe alternatives that were considered but rejected.
Provide justification if a surrogate endpoint (a laboratory measurement or physical measurement or sign that is not a direct measure of clinical benefit) will be used as a study endpoint, eg, by reference to clinical data, publications, guidelines, or previous actions by regulatory authorities.
This section SHOULD be straightforward.  You SHOULD NOT describe the assessments or the statistical analysis. You SHOULD indicate which assessments are validated or are the standard for the study. If available, provide support for the use of any unvalidated or non-standard assessment.
Do not describe any methods or assays that are not explicitly mentioned in the synopsis.","","",""
"7","STUDY ACTIVITIES","Synopsis","","","3.1","In this section, if it is included:
Indicate that a study events table is presented in an appendix to the protocol.
List the study procedures to be performed and the timing of those procedures for each study activity.
Make sure that the timing of events in this section matches the SOE exactly.
Provide a concise outline of the procedure(s) that will be performed at each visit, by time.
Use consistent terminology when referring to procedures, visits, and times, eg, â€œVisit 1,â€ â€œDay 1,â€ or â€œWeek 1.â€
Describe the acceptable or unacceptable limits for visit windows.
List specific timing for procedures in relation to meals or study treatment administration, if applicable, eg, 30 minutes before study treatment is given or within 10 minutes after study treatment is given.
Modify these suggested subheadings as applicable for the study.
Screening Visit (Days â€“XX to -1)
Describe the acceptable length of time for the screening period in addition to the instructions listed above.

Clinic Admission (Day -1)

Treatment Period (Day 1 to Day XX)
Visit 1 (Day 1) Procedures





Visit 2 (Day XX) Procedures





Day XX or Early Termination Procedures
List the procedures to be performed for early termination assessments, if there are differences in the procedures to be performed when the subject is not completing the study. Otherwise, list the procedures in the final visit section if the same procedures apply.
Describe actions (if any) that the study site personnel should take to track subjects after the study.
Indicate what Sponsor notification procedures are to be followed in the event that a subject withdraws or is withdrawn from the study.




Follow-up Visit (Day XX Â± X)
Describe the follow-up procedures and time period for subjects withdrawn from the trial and/or IP(s) treatment.
Define any safety testing and follow-up of AEs that result in discontinuing the subject from the study or from the study drug, eg, until resolution, until the event has stabilized, or until the event has been determined to be caused by an agent other than the study drug.
Note: Include a description of how the Sponsor plans to continue to monitor any discontinued subjects who become pregnant during the study and the newborn, if applicable.

If this section is included, it should be separated into either sub-sections for study visits or study periods (or both - e.g., you can have visits and a follow-up period, or a lead-in period between screening and the first administration of the study intervention), and generally give a bulleted lists of the assessments performed at each visit/during each study period. It should exactly recapitulate what is in the schedule of events, just broken out into bullet points instead of in a table. The titles for each sub-section should contain the timepoint (Day/Week/Month/etc.) of the visit/study period and any applicable windows (e.g., ""End of Study Visit - Day 30 +/- 2 days). Nomenclature for the visits should be consistent with the schedule of events. If there are multiples of the same assessment during one period (e.g., PK blood sample collection), the time points should be listed in the bullet point for that assessment. No need to describe the evaluations.
Ensure that the headers and subheaders of this section follow the structure""week/period - Week X (day X Â± X Days).  For instance: Â´Baseline - Week 0 (Day 0)Â´, Â´Week 2 (Day 14 Â± 3 Days)Â´ , Â´Week 4 (Day 28 Â± 3 Days)Â´","","",""
"8","QUALITY CONTROL AND ASSURANCE","Synopsis","","","","Insert the following text:
""Each site will perform internal quality management of study conduct, data and biological specimen collection, documentation and completion. An individualized quality management plan will be developed to describe a siteâ€™s quality management.
Quality control (QC) procedures will be implemented beginning with the data entry system and data QC checks that will be run on the database will be generated. Any missing data or data anomalies will be communicated to the site(s) for clarification/resolution.
Following written standard operating procedures (SOPs), the  will verify that the clinical trial is conducted, data are generated, and biological specimens are collected, documented (recorded), and reported in compliance with the protocol, International Council for Harmonization (ICH) Good Clinical Practice (GCP), and applicable regulatory requirements (eg, Good Laboratory Practice [GLP], Good Manufacturing Practice [GMP]).
The site will provide direct access to all trial-related sites, source data/documents, and reports for the purpose of monitoring and auditing by the Sponsor, and inspection by local and regulatory authorities.""
Any content regarding statistical analysis should be removed from this section. While this section should have information about data management procedures/considerations (e.g., who will enter data into the data capture system, training on the data capture system, data queries, how corrections should be made to the data in the data capture system if necessary, source data verification, data cleaning procedures,etc.), there should be no section combining data management and statistical anaylsis.
This section SHOULD NOT contain information on the study product itself, the accountability or the different assays. 
This section SHOULD contain information about quality assurance/control for the conduct of the study and the data obtained during the study.
","","",""
"9","PLANNED STATISTICAL METHODS","Synopsis","","Heading","","","","",""
"9.1","General Considerations","Synopsis","","","3.1","Provide the following information:
Who will have responsibility for statistical analyses,
The statistical methods to be employed, including timing of any planned interim analyses,
The level of significance to be used,
The method/software to be used for performing the analyses,
Any definitions needed to explain the analyses, eg, baseline or change from baseline,
Procedures for accounting for missing, unused, and spurious data,
Procedures for reporting any deviation(s) from the original statistical plan, and
Criteria for termination of the trial.
Do not describe analysis populations.
Do not describe reporting of protocol deviations.
Do not define endpoints.","","",""
"9.2","Determination Of Sample Size","Synopsis","","","3.1","Describe the number of subjects planned for enrollment and the number projected for each trial site.
State the reason for choice of sample size, including reflections on (or calculations of) the power of the trial and clinical justification.
Provide the planned sample size and the basis for it, such as statistical considerations or practical limitations.
For a positive control study intended to show that a new therapy is at least as effective as the standard therapy, the sample size determination should specify the difference between treatments that would be considered unacceptably large and, therefore, the difference the study is designed to be able to exclude.
This section details the methods used for the determination of the sample size and a reference to tables or software used to carry out the calculations. Sufficient information should be provided so that the sample size calculation can be reproduced or described. 

If the sample size is not derived statistically, this should be explicitly stated along with a rationale for the intended sample size.

This information is taken from the synopsis or other document provided by the Biostatistician which summarizes the sample size calculations and explorations.
Do not describe the rationale for treatment effect. Do not discuss the timing of analyses.","","",""
"9.3","Analysis Populations","Synopsis","","","3.1","Define the populations to be analyzed in the study.
Define the selection of subjects to be included in the analyses (eg, all randomized subjects, all dosed subjects, all eligible subjects, and/or evaluable subjects).
Describe any reasons why subjects for whom data are available might be excluded from the analysis.
Identify any subgroups whose results are to be examined separately.
Describe the way in which subject replacement will be addressed for the analysis (if applicable).
If analysis sets (or analysis populations) are defined in the synopsis, then they should be pulled in here. If there are no sets/populations defined in the synopsis, then typical sets/populations can be pre-defined (and manually reviewed by the Biostat for manipulation/customization). The typical sets are:

Insert the following text:
""Intent-to-Treat (ITT) Analysis Set:
The ITT Analysis Set includes all randomized [participants/subjects/patients] in the groups to which they were randomly assigned, regardless of their adherence with the study eligibility criteria, the intervention they actually received, or subsequent withdrawal from intervention of deviation from the protocol.

Safety Analysis Set:
The Safety Analysis Set includes all [participants/subjects/patients] who received any study product. [Participants/Subjects/Patients] in this set are classified according to the actual intervention received, not necessarily the intervention to which they were randomized.""

If the study drug(s) is a vaccine and the study has immunogenicity objectives/endpoints, insert the following text:
'Immunogenicity Analysis Set:
The Immunogenicity Analysis Set includes all randomized [participants/subjects/patients] who received all pertinent vaccinations. [Participants/Subjects/Patients] in this set are classified according to the actual intervention received.""

Do not describe inclusion criteria. Do not describe exclusion criteria. Do not discuss stratification. Do not describe the safety, efficacy, or immunogenicity analyses. Do not define any of the study endpoints. Do not discuss demographics and baseline characteristics. Do not describe the population size.","","",""
"9.4","Demographics and Baseline Characteristics","Synopsis","","","3.1, 6.2","Describe the method for analysis of demographic and baseline characteristic data. Do not describe the need for repeat baseline assessments. Do not describe the schedule of assessments. Do not describe the visits at which demographic data will be collected. Do not define endpoints. Do not describe the sample size. Do not describe the treatment regimen(s). Do not describe or define the demographic and baseline characteristics that will be collected. Do not define the treatment groups. Do not discuss pregnancy testing. Do not describe randomization. Do not describe stratification factors. Do not define the baseline characteristics. Do not describe the study population.","","",""
"9.5","Efficacy Analysis","Synopsis","","","3.1, 6.3","First, specify which of the defined analysis populations will be used for the analyses of the efficacy and/or immunogenicity endpoints (such as ITT population, Immunogenicity population). Do not define which participants will be in the specified analysis population. Do not define how many participants will be in the specified analysis population. Do not discuss analysis populations that will only be used for safety analyses.
Specify the study method or measurement that will be used to collect the data needed to determine whether the efficacy endpoints have been achieved. Define categorical responses (global scales, severity scores, responses of a certain size) that are to be used in analyzing responses (if any).
Describe the statistical method that will be used to calculate and summarize each endpoint variable.
Describe whether individual endpoints will be summarized and provided in tables, and if so, what will be included in those tables.
Specify the particular measurements (eg, average of several measurements over the entire study, values at particular times, values only from study completers, or last on-therapy value) planned as the basis for comparison of test drug/IP and control, if critical measurements are to be made more than once.
Similarly, identify the planned approach if more than one analytical approach is plausible, eg, changes from baseline response, slope analysis, life table analysis.
Specify whether the primary analysis is to include adjustment for covariates.
If immunogenicity is included in the efficacy assessments in Section 6.2, describe the statistical analyses planned for the immunogenicity endpoints.
Do not describe efficacy and/or immunogenicity assessments. Do not describe the laboratory methods used to obtain the efficacy and/or immunogenicity data. Do not describe the assays that will be used to obtain the efficacy and/or immunogenicity data. Do not describe the methods for obtaining efficacy and/or immunogenicity data. Do not describe how efficacy and/or immunogenicity data will be collected. Do not describe how efficacy and/or immunogenicity endpoints will be reported. Do not mention the treatment groups that are being compared. Do not describe sample collection. Do not describe the schedule of assessments. Do not define treatment responses. Do not define disease response criteria. Do not define efficacy and/or immunogenicity responses. Do not describe the follow-up period. Do not describe randomization. Do not discuss sample size calculations. Do not describe analyses of endpoints that are not efficacy and/or immunogenicity endpoints. Do not provide definitions of the efficacy and/or immunogenicity endpoints. Do not describe the statistical power of the analyses.","","",""
